home_team,home_score,away_score,home_win,away_win,draw
Chile,0,4,0.0,1.0,0.0
Argentina,6,1,1.0,0.0,0.0
Brazil,1,1,0.0,0.0,1.0
Argentina,1,1,0.0,0.0,1.0
Brazil,1,2,0.0,1.0,0.0
Argentina,0,0,0.0,0.0,1.0
Uruguay,4,0,1.0,0.0,0.0
Argentina,4,2,1.0,0.0,0.0
Argentina,1,0,1.0,0.0,0.0
Uruguay,4,0,1.0,0.0,0.0
Brazil,5,0,1.0,0.0,0.0
Uruguay,1,0,1.0,0.0,0.0
Brazil,6,0,1.0,0.0,0.0
Argentina,2,3,0.0,1.0,0.0
Chile,0,2,0.0,1.0,0.0
Brazil,3,1,1.0,0.0,0.0
Argentina,4,1,1.0,0.0,0.0
Brazil,2,2,0.0,0.0,1.0
Brazil,1,0,1.0,0.0,0.0
Chile,0,1,0.0,1.0,0.0
Uruguay,1,1,0.0,0.0,1.0
Brazil,0,6,0.0,1.0,0.0
Chile,1,1,0.0,0.0,1.0
Argentina,2,0,1.0,0.0,0.0
Chile,1,2,0.0,1.0,0.0
Argentina,1,0,1.0,0.0,0.0
Paraguay,2,1,1.0,0.0,0.0
Brazil,3,0,1.0,0.0,0.0
Argentina,3,0,1.0,0.0,0.0
Brazil,1,2,0.0,1.0,0.0
Argentina,1,0,1.0,0.0,0.0
Brazil,1,1,0.0,0.0,1.0
Chile,0,2,0.0,1.0,0.0
Brazil,1,1,0.0,0.0,1.0
Argentina,4,0,1.0,0.0,0.0
Brazil,0,0,0.0,0.0,1.0
Chile,0,3,0.0,1.0,0.0
Argentina,0,1,0.0,1.0,0.0
Paraguay,1,0,1.0,0.0,0.0
Brazil,2,0,1.0,0.0,0.0
Argentina,2,0,1.0,0.0,0.0
Brazil,3,0,1.0,0.0,0.0
Argentina,4,3,1.0,0.0,0.0
Uruguay,2,0,1.0,0.0,0.0
Brazil,0,1,0.0,1.0,0.0
Argentina,2,1,1.0,0.0,0.0
Uruguay,2,1,1.0,0.0,0.0
Uruguay,2,0,1.0,0.0,0.0
Argentina,0,0,0.0,0.0,1.0
Uruguay,5,0,1.0,0.0,0.0
Argentina,2,0,1.0,0.0,0.0
Uruguay,3,1,1.0,0.0,0.0
Chile,1,3,0.0,1.0,0.0
Uruguay,0,0,0.0,0.0,1.0
Argentina,2,0,1.0,0.0,0.0
Brazil,5,2,1.0,0.0,0.0
Argentina,4,1,1.0,0.0,0.0
Brazil,3,1,1.0,0.0,0.0
Argentina,3,1,1.0,0.0,0.0
Argentina,2,2,0.0,0.0,1.0
Chile,7,1,1.0,0.0,0.0
Argentina,5,0,1.0,0.0,0.0
Chile,1,3,0.0,1.0,0.0
Argentina,8,0,1.0,0.0,0.0
Bolivia,1,6,0.0,1.0,0.0
Argentina,0,2,0.0,1.0,0.0
Bolivia,0,6,0.0,1.0,0.0
Chile,1,1,0.0,0.0,1.0
Paraguay,1,6,0.0,1.0,0.0
Chile,5,1,1.0,0.0,0.0
Argentina,7,1,1.0,0.0,0.0
Peru,0,4,0.0,1.0,0.0
Bolivia,0,9,0.0,1.0,0.0
Peru,3,2,1.0,0.0,0.0
Argentina,3,2,1.0,0.0,0.0
Peru,1,5,0.0,1.0,0.0
Paraguay,3,0,1.0,0.0,0.0
Argentina,3,0,1.0,0.0,0.0
Argentina,4,1,1.0,0.0,0.0
Peru,1,4,0.0,1.0,0.0
Paraguay,5,0,1.0,0.0,0.0
Argentina,2,0,1.0,0.0,0.0
Argentina,4,1,1.0,0.0,0.0
Peru,0,1,0.0,1.0,0.0
Chile,1,2,0.0,1.0,0.0
Peru,1,4,0.0,1.0,0.0
Peru,1,0,1.0,0.0,0.0
Argentina,0,3,0.0,1.0,0.0
Brazil,3,2,1.0,0.0,0.0
Argentina,2,1,1.0,0.0,0.0
Paraguay,4,2,1.0,0.0,0.0
Brazil,6,4,1.0,0.0,0.0
Peru,2,4,0.0,1.0,0.0
Argentina,6,1,1.0,0.0,0.0
Chile,3,0,1.0,0.0,0.0
Brazil,5,0,1.0,0.0,0.0
Argentina,1,0,1.0,0.0,0.0
Chile,2,3,0.0,1.0,0.0
Brazil,3,2,1.0,0.0,0.0
Chile,2,2,0.0,0.0,1.0
Argentina,2,3,0.0,1.0,0.0
Paraguay,0,1,0.0,1.0,0.0
Argentina,1,0,1.0,0.0,0.0
Argentina,2,0,1.0,0.0,0.0
Chile,1,5,0.0,1.0,0.0
Peru,5,2,1.0,0.0,0.0
Ecuador,0,6,0.0,1.0,0.0
Peru,3,1,1.0,0.0,0.0
Chile,2,3,0.0,1.0,0.0
Peru,3,0,1.0,0.0,0.0
Chile,4,1,1.0,0.0,0.0
Paraguay,1,3,0.0,1.0,0.0
Ecuador,1,3,0.0,1.0,0.0
Peru,2,1,1.0,0.0,0.0
Chile,5,0,1.0,0.0,0.0
Chile,1,0,1.0,0.0,0.0
Ecuador,0,6,0.0,1.0,0.0
Argentina,2,1,1.0,0.0,0.0
Argentina,6,1,1.0,0.0,0.0
Chile,0,2,0.0,1.0,0.0
Argentina,1,0,1.0,0.0,0.0
Ecuador,0,4,0.0,1.0,0.0
Peru,0,2,0.0,1.0,0.0
Chile,0,1,0.0,1.0,0.0
Uruguay,6,1,1.0,0.0,0.0
Argentina,4,3,1.0,0.0,0.0
Brazil,6,1,1.0,0.0,0.0
Argentina,2,1,1.0,0.0,0.0
Paraguay,1,1,0.0,0.0,1.0
Uruguay,7,0,1.0,0.0,0.0
Brazil,2,1,1.0,0.0,0.0
Argentina,12,0,1.0,0.0,0.0
Chile,0,2,0.0,1.0,0.0
Uruguay,1,0,1.0,0.0,0.0
Argentina,3,1,1.0,0.0,0.0
Ecuador,1,3,0.0,1.0,0.0
Ecuador,1,2,0.0,1.0,0.0
Uruguay,3,1,1.0,0.0,0.0
Argentina,0,0,0.0,0.0,1.0
Brazil,5,1,1.0,0.0,0.0
Uruguay,3,0,1.0,0.0,0.0
Brazil,1,1,0.0,0.0,1.0
Chile,2,1,1.0,0.0,0.0
Chile,0,0,0.0,0.0,1.0
Uruguay,1,0,1.0,0.0,0.0
Chile,6,3,1.0,0.0,0.0
Argentina,4,0,1.0,0.0,0.0
Brazil,3,0,1.0,0.0,0.0
Chile,5,0,1.0,0.0,0.0
Ecuador,1,5,0.0,1.0,0.0
Bolivia,0,2,0.0,1.0,0.0
Colombia,0,7,0.0,1.0,0.0
Argentina,4,2,1.0,0.0,0.0
Chile,2,0,1.0,0.0,0.0
Argentina,9,1,1.0,0.0,0.0
Brazil,3,0,1.0,0.0,0.0
Bolivia,0,0,0.0,0.0,1.0
Chile,1,1,0.0,0.0,1.0
Argentina,3,1,1.0,0.0,0.0
Bolivia,0,2,0.0,1.0,0.0
Chile,1,0,1.0,0.0,0.0
Colombia,3,1,1.0,0.0,0.0
Bolivia,3,3,0.0,0.0,1.0
Brazil,9,2,1.0,0.0,0.0
Argentina,1,0,1.0,0.0,0.0
Chile,0,1,0.0,1.0,0.0
Argentina,2,0,1.0,0.0,0.0
Bolivia,0,3,0.0,1.0,0.0
Chile,0,1,0.0,1.0,0.0
Argentina,7,1,1.0,0.0,0.0
Chile,2,1,1.0,0.0,0.0
Brazil,4,3,1.0,0.0,0.0
Argentina,3,1,1.0,0.0,0.0
Bolivia,2,4,0.0,1.0,0.0
Bolivia,0,5,0.0,1.0,0.0
Brazil,1,1,0.0,0.0,1.0
Argentina,3,1,1.0,0.0,0.0
Brazil,5,1,1.0,0.0,0.0
Bolivia,1,4,0.0,1.0,0.0
Paraguay,2,1,1.0,0.0,0.0
Argentina,2,0,1.0,0.0,0.0
Ecuador,2,2,0.0,0.0,1.0
Argentina,6,0,1.0,0.0,0.0
